image,label,xmin,ymin,xmax,ymax
rec_20250910_204401_000001.jpg,rat,132,211,163,231
rec_20250910_204401_000002.jpg,rat,135,213,164,231
rec_20250910_204401_000004.jpg,rat,135,212,167,231
rec_20250910_204401_000005.jpg,rat,136,212,165,230
rec_20250910_204401_000007.jpg,rat,134,211,168,230
rec_20250910_204401_000008.jpg,rat,138,210,167,231
rec_20250910_204401_000009.jpg,rat,140,210,169,230
rec_20250910_204401_000010.jpg,rat,138,211,169,230
rec_20250910_204401_000011.jpg,rat,141,211,169,230
rec_20250910_204401_000013.jpg,rat,136,210,175,229
rec_20250910_204401_000014.jpg,rat,142,212,167,228
rec_20250910_204401_000015.jpg,rat,145,213,167,229
rec_20250910_204941_000001.jpg,rat,166,206,203,227
rec_20250910_204941_000002.jpg,rat,166,206,202,226
rec_20250910_204941_000004.jpg,rat,169,207,204,224
rec_20250910_204941_000005.jpg,rat,171,204,207,226
rec_20250910_204941_000007.jpg,rat,174,207,203,225
rec_20250910_204941_000021.jpg,rat,170,208,202,226
rec_20250910_204941_000022.jpg,rat,176,203,215,225
rec_20250910_204941_000023.jpg,rat,192,210,234,243
rec_20250910_204941_000024.jpg,rat,194,207,234,248
rec_20250910_205127_000001.jpg,rat,178,202,217,225
rec_20250910_205127_000002.jpg,rat,180,204,218,225
rec_20250910_205127_000004.jpg,rat,191,204,217,223
rec_20250910_205127_000005.jpg,rat,189,203,221,222
rec_20250910_205127_000007.jpg,rat,190,205,215,222
rec_20250910_205127_000008.jpg,rat,186,203,217,223
rec_20250910_205127_000018.jpg,rat,181,206,216,225
rec_20250910_210821_000001.jpg,rat,150,213,178,228
rec_20250910_210821_000002.jpg,rat,146,209,176,228
rec_20250910_210821_000003.jpg,rat,146,209,175,229
rec_20250910_210821_000004.jpg,rat,143,211,176,230
rec_20250910_210821_000005.jpg,rat,146,211,173,229
rec_20250910_210821_000006.jpg,rat,145,209,173,228
rec_20250910_210821_000007.jpg,rat,146,209,175,229
rec_20250910_210821_000010.jpg,rat,147,209,177,229
rec_20250910_210821_000011.jpg,rat,145,210,177,229
rec_20250910_210821_000012.jpg,rat,145,211,174,228
rec_20250910_210821_000013.jpg,rat,144,211,174,229
rec_20250910_210821_000014.jpg,rat,151,211,183,227
