epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.380374,0.67251,2.25473,1.45863,0.00333,1,0.4975,0.29946,1.21669,3.38654,2.14743,0,0,0
2,0.752727,1.07622,2.78179,1.3456,0.00333,1,0.4975,0.2985,1.174,3.36304,2.11271,1.9604e-05,1.9604e-05,1.9604e-05
3,1.11427,0.7094,2.2893,1.01545,0.00333,1,0.33167,0.199,0.86862,3.28398,1.80101,3.8416e-05,3.8416e-05,3.8416e-05
4,1.47268,0.70623,2.64671,1.37757,0.00333,1,0.33167,0.2985,0.6006,3.03462,1.29016,5.6436e-05,5.6436e-05,5.6436e-05
5,1.83976,0.49934,3.18955,1.25985,0.00333,1,0.995,0.796,0.66574,3.01626,1.23729,7.3664e-05,7.3664e-05,7.3664e-05
6,2.21248,0.77209,2.21499,1.25635,0.00333,1,0.995,0.8955,0.53922,2.96347,1.12185,9.01e-05,9.01e-05,9.01e-05
7,2.58688,0.29482,2.01272,0.91595,0.00333,1,0.995,0.8955,0.51469,2.96018,1.03797,0.000105744,0.000105744,0.000105744
8,2.96738,0.73801,2.16788,1.05152,0.00333,1,0.995,0.8955,0.48033,2.94282,1.03839,0.000120596,0.000120596,0.000120596
9,3.35616,0.5118,1.77,0.98064,0.00333,1,0.995,0.8955,0.48033,2.94282,1.03839,0.000134656,0.000134656,0.000134656
10,3.73864,1.92281,2.37484,2.74777,0.00333,1,0.995,0.8955,0.42808,2.91337,1.00974,0.000147924,0.000147924,0.000147924
11,4.06834,0.91915,2.89596,1.73919,0.00333,1,0.995,0.8955,0.42808,2.91337,1.00974,0.0001604,0.0001604,0.0001604
12,4.4354,0.42024,1.76081,0.97425,0.00333,1,0.995,0.8955,0.3824,2.92643,1.016,0.000172084,0.000172084,0.000172084
13,4.76485,0.89486,2.66395,1.57013,0.00333,1,0.995,0.8955,0.3824,2.92643,1.016,0.000182976,0.000182976,0.000182976
14,5.135,1.15212,1.867,1.72906,0.00333,1,0.995,0.6965,0.44883,2.93595,1.08469,0.000193076,0.000193076,0.000193076
15,5.46608,1.26706,1.86036,1.59627,0.00333,1,0.995,0.6965,0.44883,2.93595,1.08469,0.000202384,0.000202384,0.000202384
16,5.83385,0.78558,2.02045,1.54676,0.00333,1,0.995,0.6965,0.45951,2.90255,1.12605,0.0002109,0.0002109,0.0002109
17,6.16902,1.37103,1.63919,1.62206,0.00333,1,0.995,0.6965,0.45951,2.90255,1.12605,0.000218624,0.000218624,0.000218624
18,6.60492,0.69927,1.62793,1.18571,0.00333,1,0.995,0.6965,0.38144,2.86067,1.1331,0.000225556,0.000225556,0.000225556
19,6.93846,0.87071,1.23188,1.15036,0.00333,1,0.995,0.6965,0.38144,2.86067,1.1331,0.000231696,0.000231696,0.000231696
20,7.30425,0.63131,1.61628,1.27482,0.00333,1,0.995,0.8955,0.44669,2.76577,1.02418,0.000237044,0.000237044,0.000237044
21,7.63224,1.21558,1.736,1.23139,0.00333,1,0.995,0.8955,0.44669,2.76577,1.02418,0.0002416,0.0002416,0.0002416
22,7.99255,0.68651,0.92971,0.84242,0.00758,1,0.995,0.796,0.65401,2.5413,1.29387,0.000245364,0.000245364,0.000245364
23,8.30321,0.48822,1.47668,1.28589,0.00758,1,0.995,0.796,0.65401,2.5413,1.29387,0.000248336,0.000248336,0.000248336
24,8.63436,0.40639,1.48847,1.08025,0.00758,1,0.995,0.796,0.65401,2.5413,1.29387,0.000250516,0.000250516,0.000250516
25,8.98999,0.65353,1.72639,1.35905,0.6394,1,0.995,0.796,0.54303,2.38294,1.23328,0.000251904,0.000251904,0.000251904
26,9.31258,0.42319,0.83186,0.82731,0.6394,1,0.995,0.796,0.54303,2.38294,1.23328,0.0002525,0.0002525,0.0002525
27,9.63898,0.55224,1.64486,1.02795,0.6394,1,0.995,0.796,0.54303,2.38294,1.23328,0.000252304,0.000252304,0.000252304
